
--- RK4 Steps (RK4 Problem 1), h=0.1 ---
Step	X	Y-values
0	0.100000	1.123049
1	0.200000	1.308496
2	0.300000	1.595754
3	0.400000	2.064900
4	0.500000	2.907820
5	0.600000	4.727897
6	0.700000	10.853932

--- RK4 Steps (RK4 Problem 1), h=0.25 ---
Step	X	Y-values
0	0.250000	1.435558
1	0.500000	2.897227
2	0.750000	17.885430

--- RK4 Steps (RK4 Problem 1), h=0.45 ---
Step	X	Y-values
0	0.450000	2.389060
1	0.900000	109.960226

--- RK4 Steps (RK4 Damped SHO), h=0.05 ---
Step	X	Y-values
160	8.050000	-0.053798	-0.540085
161	8.100000	-0.080623	-0.532699
162	8.150000	-0.107046	-0.524042
163	8.200000	-0.133006	-0.514144
164	8.250000	-0.158441	-0.503041
165	8.300000	-0.183291	-0.490767
166	8.350000	-0.207499	-0.477364
167	8.400000	-0.231009	-0.462871
168	8.450000	-0.253768	-0.447335
169	8.500000	-0.275726	-0.430800
170	8.550000	-0.296832	-0.413317
171	8.600000	-0.317042	-0.394935
172	8.650000	-0.336312	-0.375706
173	8.700000	-0.354600	-0.355686
174	8.750000	-0.371868	-0.334930
175	8.800000	-0.388081	-0.313495
176	8.850000	-0.403207	-0.291439
177	8.900000	-0.417216	-0.268822
178	8.950000	-0.430081	-0.245705
179	9.000000	-0.441779	-0.222149
180	9.050000	-0.452290	-0.198216
181	9.100000	-0.461596	-0.173968
182	9.150000	-0.469682	-0.149468
183	9.200000	-0.476539	-0.124779
184	9.250000	-0.482158	-0.099963
185	9.300000	-0.486534	-0.075084
186	9.350000	-0.489667	-0.050204
187	9.400000	-0.491556	-0.025385
188	9.450000	-0.492207	-0.000688
189	9.500000	-0.491628	0.023826
190	9.550000	-0.489829	0.048097
191	9.600000	-0.486823	0.072068
192	9.650000	-0.482628	0.095680
193	9.700000	-0.477262	0.118877
194	9.750000	-0.470748	0.141605
195	9.800000	-0.463110	0.163810
196	9.850000	-0.454376	0.185442
197	9.900000	-0.444576	0.206450
198	9.950000	-0.433743	0.226787
199	10.000000	-0.421910	0.246408
200	10.050000	-0.409114	0.265268
201	10.100000	-0.395396	0.283327
202	10.150000	-0.380796	0.300545
203	10.200000	-0.365356	0.316886
204	10.250000	-0.349122	0.332316
205	10.300000	-0.332140	0.346804
206	10.350000	-0.314458	0.360319
207	10.400000	-0.296125	0.372836
208	10.450000	-0.277192	0.384332
209	10.500000	-0.257709	0.394784
210	10.550000	-0.237731	0.404175
211	10.600000	-0.217310	0.412490
212	10.650000	-0.196500	0.419715
213	10.700000	-0.175357	0.425841
214	10.750000	-0.153934	0.430861
215	10.800000	-0.132289	0.434771
216	10.850000	-0.110476	0.437569
217	10.900000	-0.088551	0.439256
218	10.950000	-0.066569	0.439837
219	11.000000	-0.044585	0.439318
