Table 1: RK4 and RKF45 Approximation Results
Iter    Time      RK4            RKF45          Analytical     
136     6.75      -2.263072      -2.029670      -2.263057      
137     6.80      -1.918200      -2.029670      -1.918184      
138     6.85      -1.552325      -1.390921      -1.552308      
139     6.90      -1.168998      -1.390921      -1.168982      
140     6.95      -0.771969      -0.728101      -0.771952      
141     7.00      -0.365146      -0.044456      -0.365128      
142     7.05      0.047446       -0.044456      0.047463       
143     7.10      0.461699       0.642071       0.461716       
144     7.15      0.873467       0.642071       0.873484       
145     7.20      1.278611       1.317177       1.278628       
146     7.25      1.673036       1.952217       1.673051       
147     7.30      2.052734       1.952217       2.052749       
148     7.35      2.413828       2.507921       2.413842       
149     7.40      2.752609       2.507921       2.752622       
150     7.45      3.065577       2.994549       3.065589       
151     7.50      3.349475       3.409143       3.349485       
152     7.55      3.601324       3.749372       3.601332       
153     7.60      3.818455       3.749372       3.818461       
154     7.65      3.998538       4.012315       3.998542       
155     7.70      4.139605       4.195190       4.139608       
156     7.75      4.240073       4.195190       4.240074       
157     7.80      4.298763       4.295435       4.298762       
158     7.85      4.314911       4.310783       4.314908       
159     7.90      4.288176       4.310783       4.288171       
160     7.95      4.218651       4.239264       4.218644       
161     8.00      4.106860       4.079143       4.106851       
162     8.05      3.953752       3.828781       3.953741       
163     8.10      3.760698       3.828781       3.760686       
164     8.15      3.529477       3.486344       3.529463       
165     8.20      3.262256       3.049197       3.262241       
166     8.25      2.961576       3.049197       2.961559       
167     8.30      2.630321       2.512509       2.630303       
168     8.35      2.271694       2.512509       2.271676       
169     8.40      1.889187       1.865474       1.889168       
170     8.45      1.486542       1.181860       1.486522       
171     8.50      1.067718       1.181860       1.067697       
172     8.55      0.636849       0.469834       0.636828       
173     8.60      0.198205       0.469834       0.198184       
174     8.65      -0.243851      -0.253256      -0.243872      
175     8.70      -0.684908      -0.972460      -0.684928      
176     8.75      -1.120550      -0.972460      -1.120570      
177     8.80      -1.546403      -1.672127      -1.546422      
178     8.85      -1.958175      -1.672127      -1.958193      
179     8.90      -2.351703      -2.297289      -2.351720      
180     8.95      -2.722996      -2.849114      -2.723011      
181     9.00      -3.068271      -2.849114      -3.068285      
182     9.05      -3.383999      -3.328016      -3.384010      
183     9.10      -3.666933      -3.731561      -3.666943      
184     9.15      -3.914150      -4.056913      -3.914158      
185     9.20      -4.123073      -4.056913      -4.123079      
186     9.25      -4.291506      -4.301142      -4.291510      
187     9.30      -4.417652      -4.461500      -4.417653      
188     9.35      -4.500131      -4.461500      -4.500131      
189     9.40      -4.538002      -4.535512      -4.537999      
190     9.45      -4.530766      -4.521015      -4.530760      
191     9.50      -4.478375      -4.416127      -4.478368      
192     9.55      -4.381237      -4.416127      -4.381227      
193     9.60      -4.240207      -4.219165      -4.240195      
194     9.65      -4.056584      -3.928449      -4.056570      
195     9.70      -3.832097      -3.928449      -3.832081      
196     9.75      -3.568890      -3.541922      -3.568872      
197     9.80      -3.269499      -3.056323      -3.269480      
198     9.85      -2.936831      -3.056323      -2.936811      
199     9.90      -2.574132      -2.465226      -2.574110      
200     9.95      -2.184957      -2.465226      -2.184935      
201     10.00     -1.773136      -1.779287      -1.773113      
202     10.05     -1.342733      -1.064067      -1.342709      
203     10.10     -0.898009      -1.064067      -0.897985      
204     10.15     -0.443376      -0.323185      -0.443352      
205     10.20     0.016642       -0.323185      0.016666       
206     10.25     0.477460       0.424571       0.477483       
207     10.30     0.934474       1.164274       0.934497       
208     10.35     1.383109       1.164274       1.383131       
209     10.40     1.818864       1.875775       1.818885       
210     10.45     2.237358       2.500025       2.237377       
211     10.50     2.634374       2.500025       2.634392       
212     10.55     3.005902       3.052143       3.005918       
213     10.60     3.348180       3.528893       3.348194       
214     10.65     3.657731       3.528893       3.657743       
215     10.70     3.931399       3.928083       3.931409       
216     10.75     4.166382       4.246677       4.166390       
217     10.80     4.360261       4.246677       4.360267       
